"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","MOD2015A","MOD2015B","MOD2016A","MOD2016B","MOD2017A","MOD2017B","MOD2018A"
14672.5450903,85230021,85,"NULL",85230,"POT","LA PRADERA","OROCUÉ","CASANARE",4154,"",1,"2012",4073,28.6168993968573,26.9323632475374,28.5361810626294,26.2919047611788,27.2331634255042,26.598581579961,26.9139286688199
2655.82956853,85139031,85,"NULL",85139,"REVISIÓN EOT 2009(DISPUTA CON YOPAL)","LA MAPORA","MANÍ","CASANARE",4504,"",1,"2017",4421,28.1325423642308,27.4864414915988,29.1282924126083,26.3135041284186,27.3198430985239,26.8736340615724,27.4160823474838
4531.35245138,85010025,85,"NULL",85010,"DESCONOCIDA","LA GRACIELA","AGUAZUL","CASANARE",3931,"",1,"INDF",3852,26.8604036456263,26.2725183611612,28.081436988129,25.2088364585366,26.2046080196915,25.7046763355543,26.9654403417724
1191.40220947,85015013,85,"NULL",85015,"EOT 2012","BARRIALES","CHÁMEZA","CASANARE",3988,"",1,"INDF",3909,17.8412865016226,18.0886827127256,19.1117906036015,17.3640148730995,17.2021568875288,17.3808852122088,17.827505369117
946.127342858,85279004,85,"NULL",85279,"ESRI","COMOGO","RECETOR","CASANARE",4264,"",1,"INDF",4183,20.5304209719305,20.5860573123532,21.2653235563307,19.8987818739331,19.6038936485151,19.4905708804626,20.8130204532764
11034.2303615,85325008,85,"NULL",85325,"EOT 2008","SANTA TERESA","SAN LUIS DE PALENQUE","CASANARE",4305,"",1,"INDF",4224,28.4551889641618,26.697836955857,28.8890004665532,26.2177111702681,27.1650507838285,26.6207678766166,27.3451178786137
3208.63739145,85400047,85,"NULL",85400,"REVISIÓN Y AJUSTE EOT 2010","SANTO DOMINGO","TÁMARA","CASANARE",4343,"",1,"INDF",4262,21.0281255514373,21.9236748455833,22.8695738273027,20.8533589774712,21.4192494730979,21.0884331468485,21.5752502444542
19491.5368787,85410007,85,"NULL",85410,"DESCONOCIDA","CARUPANA","TAURAMENA","CASANARE",4391,"",1,"INDF",4310,26.8502924473294,26.8273562990294,28.3230965824242,25.7198919619454,26.3013373089884,26.1535060236478,26.8459689752586
205.722126042,85440012,85,"NULL",85440,"CORPORINOQUIA REVISIÓN EOT 2010","ISLA EL AMPARO","VILLANUEVA","CASANARE",4466,"",1,"INDF",4385,27.2334665911226,27.3398358771463,29.0733988333027,26.1363330037446,26.8089951684366,26.6887887688533,27.0090483999996
2200.19242701,23574006,23,"NULL",23574,"EOT PUERTO ESCONDIDO","LA CAÑA DE CANALETE","PUERTO ESCONDIDO","CÓRDOBA",25929,"",1,"2000",25666,29.2063438662658,27.0583568559344,28.4226100707856,26.3370926306669,27.7587302087969,27.2907554332668,27.7366649121672
