"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","SEMESTRE","TMEAN"
75.5394104999,50223004,50,"NULL",50223,"GOBERNACIÓN","BELLAVISTA","CUBARRAL","META",16884,"",1,"2000",16683,"2016B",13.8419413821368
75.5394104999,50223004,50,"NULL",50223,"GOBERNACIÓN","BELLAVISTA","CUBARRAL","META",16884,"",1,"2000",16683,"2017A",14.0763098674863
75.5394104999,50223004,50,"NULL",50223,"GOBERNACIÓN","BELLAVISTA","CUBARRAL","META",16884,"",1,"2000",16683,"2017B",14.4212796200229
75.5394104999,50223004,50,"NULL",50223,"GOBERNACIÓN","BELLAVISTA","CUBARRAL","META",16884,"",1,"2000",16683,"2018A",14.3492270117274
10645.0050916,50590009,50,"NULL",50590,"ALCALDIA MUNICIPAL","CAÑO CEIBA","PUERTO RICO","META",17746,"",1,"2000",17539,"2015A",25.5493626876695
10645.0050916,50590009,50,"NULL",50590,"ALCALDIA MUNICIPAL","CAÑO CEIBA","PUERTO RICO","META",17746,"",1,"2000",17539,"2015B",26.3241803811794
10645.0050916,50590009,50,"NULL",50590,"ALCALDIA MUNICIPAL","CAÑO CEIBA","PUERTO RICO","META",17746,"",1,"2000",17539,"2016A",26.9052104832787
10645.0050916,50590009,50,"NULL",50590,"ALCALDIA MUNICIPAL","CAÑO CEIBA","PUERTO RICO","META",17746,"",1,"2000",17539,"2016B",25.4674113108089
10645.0050916,50590009,50,"NULL",50590,"ALCALDIA MUNICIPAL","CAÑO CEIBA","PUERTO RICO","META",17746,"",1,"2000",17539,"2017A",25.5548219511228
10645.0050916,50590009,50,"NULL",50590,"ALCALDIA MUNICIPAL","CAÑO CEIBA","PUERTO RICO","META",17746,"",1,"2000",17539,"2017B",25.5202402867142
10645.0050916,50590009,50,"NULL",50590,"ALCALDIA MUNICIPAL","CAÑO CEIBA","PUERTO RICO","META",17746,"",1,"2000",17539,"2018A",26.665496469709
3360.7182284,50330049,50,"NULL",50330,"POT","PUERTO NARIÑO","MESETAS","META",17106,"",1,"2003",16902,"2015A",22.9579598648563
3360.7182284,50330049,50,"NULL",50330,"POT","PUERTO NARIÑO","MESETAS","META",17106,"",1,"2003",16902,"2015B",22.8976798294761
3360.7182284,50330049,50,"NULL",50330,"POT","PUERTO NARIÑO","MESETAS","META",17106,"",1,"2003",16902,"2016A",24.0609906584603
3360.7182284,50330049,50,"NULL",50330,"POT","PUERTO NARIÑO","MESETAS","META",17106,"",1,"2003",16902,"2016B",21.9144276449544
3360.7182284,50330049,50,"NULL",50330,"POT","PUERTO NARIÑO","MESETAS","META",17106,"",1,"2003",16902,"2017A",21.8630522332997
3360.7182284,50330049,50,"NULL",50330,"POT","PUERTO NARIÑO","MESETAS","META",17106,"",1,"2003",16902,"2017B",22.4067297292357
3360.7182284,50330049,50,"NULL",50330,"POT","PUERTO NARIÑO","MESETAS","META",17106,"",1,"2003",16902,"2018A",22.9490566333454
1498.20896756,50001041,50,"NULL",50001,"POT","RIO NEGRITO","VILLAVICENCIO","META",16751,"",1,"2009",16552,"2015A",25.7618087342461
1498.20896756,50001041,50,"NULL",50001,"POT","RIO NEGRITO","VILLAVICENCIO","META",16751,"",1,"2009",16552,"2015B",25.6965494608081
1498.20896756,50001041,50,"NULL",50001,"POT","RIO NEGRITO","VILLAVICENCIO","META",16751,"",1,"2009",16552,"2016A",26.951205607816
1498.20896756,50001041,50,"NULL",50001,"POT","RIO NEGRITO","VILLAVICENCIO","META",16751,"",1,"2009",16552,"2016B",24.8490628509977
1498.20896756,50001041,50,"NULL",50001,"POT","RIO NEGRITO","VILLAVICENCIO","META",16751,"",1,"2009",16552,"2017A",25.1786480197804
1498.20896756,50001041,50,"NULL",50001,"POT","RIO NEGRITO","VILLAVICENCIO","META",16751,"",1,"2009",16552,"2017B",25.0327615047349
1498.20896756,50001041,50,"NULL",50001,"POT","RIO NEGRITO","VILLAVICENCIO","META",16751,"",1,"2009",16552,"2018A",25.4994399587003
