date,AVG(Temp),AVG(Press),AVG(Cond),AVG(Salinity),AVG(DO),AVG(rawO2),AVG(OxySat),AVG(pH),AVG(Redox)
14/02/2015 0:11,2.817794167,4.008097896,0.037345719,0.028314885,14.58035776,652.8371264,107.9424827,7.390773708,533.3574626
15/02/2015 0:12,2.891494844,3.983660292,0.037457688,0.028376229,14.48323663,650.841582,107.4366453,7.225567844,541.7467722
16/02/2015 0:12,2.957771938,4.041011625,0.037546167,0.028417208,14.49123811,653.3333607,107.6870649,7.150817167,546.33675
17/02/2015 0:12,3.013194729,4.117836813,0.037538979,0.02839776,14.58924656,659.4887587,108.5695658,7.345369552,547.2968585
18/02/2015 0:12,2.984143417,4.156542385,0.037683396,0.028519688,14.45175859,652.3794409,107.4679528,7.092187833,556.3823903
19/02/2015 0:12,3.104861667,8.732306407,0.038056254,0.028766164,14.43807817,656.0489615,107.7172562,7.041888974,559.0152843
20/02/2015 0:00,3.078754938,3.926213031,0.037959708,0.028703625,14.53328229,659.092406,108.3495699,7.088530813,560.286719
21/02/2015 0:00,3.122957969,3.830690594,0.037943417,0.028672365,14.48748846,658.4153436,108.1354692,7.166929781,562.0331478
22/02/2015 0:00,3.095293708,3.871264031,0.03788749,0.028640219,14.55822096,660.7457784,108.5830787,7.190367708,565.1356767
23/02/2015 0:00,3.19025546,8.641080111,0.038185566,0.028833407,14.58496706,665.4564719,109.0595567,7.320605577,559.6236873
24/02/2015 0:00,3.134163375,4.058079563,0.038246698,0.028906302,14.50883129,659.763635,108.3268286,7.242201677,567.4660276
25/02/2015 0:01,3.085866427,4.086310563,0.038183563,0.02887249,14.59492968,662.1416219,108.8303452,7.259318563,571.8616632
26/02/2015 0:01,3.214428625,4.068551604,0.03847426,0.02905649,14.4880732,661.3886586,108.4019853,7.064126094,579.5172265
27/02/2015 0:01,3.357769138,4.051506775,0.038612175,0.029105563,14.51133756,667.0644577,108.992543,7.075584713,579.748507
28/02/2015 0:01,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
01/03/2015 13:00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
02/03/2015 13:00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
03/03/2015 13:00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
04/03/2015 13:00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
05/03/2015 13:00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
06/03/2015 13:00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
07/03/2015 13:00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
08/03/2015 13:00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
09/03/2015 13:00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
10/03/2015 13:00,6.267762,3.3969548,0.041054,0.0298178,14.5992772,726.6597228,118.1566964,6.1313119,522.9603241
11/03/2015 1:00,5.419802573,11.26669497,0.041077573,0.030157778,12.17219672,708.7218466,96.53849349,7.349359274,591.96349
12/03/2015 0:00,7.231937854,4.078627146,0.042519756,0.030483927,12.67827288,753.83607,105.1799975,7.358565976,528.6952559
13/03/2015 8:00,7.416563694,4.102829051,0.043196841,0.030878516,12.70523336,756.1446502,105.8899549,7.392205764,500.885136
14/03/2015 0:02,6.938025292,4.068173542,0.042663156,0.030695469,12.47174768,739.9169381,102.71463,7.38889151,497.7021704
15/03/2015 0:02,6.572491125,4.028531729,0.042283948,0.030575448,12.25494942,724.7320557,100.0124298,7.363946667,500.7491898
16/03/2015 0:02,6.164751196,5.030579915,0.042163975,0.030646878,12.17546867,716.8855311,98.35344595,7.314455496,509.6574305
17/03/2015 0:00,5.914066424,5.034722707,0.041941863,0.030587984,12.02113471,705.6316434,96.49087116,7.311688109,508.4836314
